step_id	question	yes_next	no_next	yes_effect	no_effect
【フェーズ1：契約状態確認】（共通）					
―― 契約状態確認 ――					
S1_1_1	契約は現在有効状態か？	S1_2_1	S1_1_2	契約状態=有効	
S1_1_2	契約は失効中か？	S1_1_3	S1_1_7	契約状態=失効中	契約状態=失効以外
S1_1_3	猶予期間内か？（月払：払込期月の翌月初日～末日、年払/半年払：払込期月の翌月初日～翌々月の契約応当日）	S1_1_5	S1_1_4	猶予期間=該当	猶予期間=非該当
S1_1_4	失効取消期間内か？（2019/9/1以降：猶予期間満了日翌日～翌月末日）	S1_1_5	S1_1_6	失効取消期間=該当	失効取消期間=非該当
S1_1_5	給付金額から未払込保険料を控除可能か？	S1_2_1	REJECT	未払保険料控除=要	全給付対象外(控除不能)
S1_1_6	復活が成立しているか？	S1_2_1	REJECT	契約状態=復活後;失効期間中=対象外	全給付対象外(契約失効)
S1_1_7	契約は満了しているか？	S1_1_8	S1_1_9	契約状態=満了	契約状態=満了以外
S1_1_8	請求に満了日を含む継続入院または満了日以前の手術が存在するか？	S1_2_1	REJECT	契約状態=満了後継続あり	全給付対象外(契約満了後・対象なし)
S1_1_9	契約は解約されているか？	S1_1_10	REJECT	契約状態=解約	全給付対象外(契約状態不明)
S1_1_10	請求に解約日以前の入院または手術が存在するか？	S1_2_1	REJECT	契約状態=解約前入院・手術あり	全給付対象外(解約後・対象なし)
―― 商品・特約判定（共通）――					
S1_2_1	総合医療保険が付加されているか？	S1_2_2	S1_2_2	商品=総合医療保険	商品=総合医療保険なし
S1_2_2	入院総合保障特約（81）が付加されているか？	S1_2_3	S1_2_3	特約81=付加	特約81=未付加
S1_2_3	入院初期給付特約が付加されているか？	S1_2_4	S1_2_4	入院初期特約=付加	入院初期特約=未付加
S1_2_4	長期総合医療保険が付加されているか？	S1_2_5	S1_2_5	長期総合=付加	長期総合=未付加
S1_2_5	入院時手術給付特約が付加されているか？	S1_2_6	S1_2_6	入院時手術特約=付加	入院時手術特約=未付加
S1_2_6	いずれかの入院給付金対象商品・特約が付加されているか？	S1_2_7	S1_2_7	入院給付対象商品・特約=あり	入院給付対象商品・特約=なし
S1_2_7	いずれかの手術給付金対象商品・特約が付加されているか？	S1_2_8	S1_2_8	手術給付対象商品・特約=あり	手術給付対象商品・特約=なし
S1_2_8	入院または手術の対象商品・特約が1つ以上あるか？	S1_3_1	REJECT	対象商品・特約=あり	全給付対象外(対象商品・特約なし)
―― 請求内容確認（共通）――					
S1_3_1	請求内容に入院給付金が含まれるか？	S1_3_2	S1_3_2	入院給付金請求=あり	入院給付金請求=なし
S1_3_2	請求内容に手術給付金が含まれるか？	S1_3_3	S1_3_3	手術給付金請求=あり	手術給付金請求=なし
S1_3_3	入院給付金請求があるか？	S1B_LOOP	S20_CHK	入院フローへ	手術フローへ(入院請求なし)
【フェーズ1.5：入院前提条件チェック】					
―― 入院単位の前提条件確認（治療目的・施設・責任開始期）――					
S1B_LOOP	判定対象の入院があるか？（入院日の古い順に選択）	S1B_1_1	S1B_END	判定対象入院=選択済	判定対象入院なし
S1B_1_1	この入院は契約の保障対象期間内か？（満了日以前の入院開始、または解約日以前）	S1B_2_1	S1B_X	この入院=保障期間内	この入院の前提条件=NG(保障期間外)
―― 治療目的確認 ――					
S1B_2_1	この入院の目的は治療か？	S1B_3_1	S1B_2_2	この入院の治療目的=該当	
S1B_2_2	この入院は健康診断目的の検査入院（人間ドック等）か？	S1B_X	S1B_2_3	この入院の前提条件=NG(検査入院)	
S1B_2_3	この入院は美容整形目的か？	S1B_2_4	S1B_2_5		
S1B_2_4	著しい奇形または機能障害によるものか？	S1B_3_1	S1B_X	この入院の治療目的=該当(奇形・機能障害)	この入院の前提条件=NG(美容整形)
S1B_2_5	この入院は正常分娩か？	S1B_2_6	S1B_2_7		
S1B_2_6	入院中に異常分娩・他傷病治療を開始したか？	S1B_3_1	S1B_X	この入院の治療目的=該当(異常分娩);入院初日から対象	この入院の前提条件=NG(正常分娩)
S1B_2_7	この入院は臓器提供目的か？	S1B_2_8	S1B_2_9		
S1B_2_8	手術・検査を原因として傷病が発症したか？	S1B_3_1	S1B_X	この入院の治療目的=該当(臓器提供後発症)	この入院の前提条件=NG(臓器提供)
S1B_2_9	この入院は人工授精目的（男性のみが原因の不妊症）か？	S1B_2_10	S1B_2_11		
S1B_2_10	治療開始日は令和4年4月以降か？	S1B_3_1	S1B_X	この入院の治療目的=該当(不妊治療R4.4以降)	この入院の前提条件=NG(不妊治療R4.4前)
S1B_2_11	この入院は人工妊娠中絶か？	S1B_2_12	S1B_2_13		
S1B_2_12	母体または胎児に異常があるか？	S1B_3_1	S1B_X	この入院の治療目的=該当(異常による中絶)	この入院の前提条件=NG(任意中絶)
S1B_2_13	この入院は不妊手術（避妊目的の卵管結紮・パイプカット等）か？	S1B_X	S1B_3_1	この入院の前提条件=NG(不妊手術)	この入院の治療目的=該当
―― 入院施設確認 ――					
S1B_3_1	この入院は医療法に定める病院または診療所か？	S1B_4_1	S1B_3_2	この入院の施設要件=該当(医療法施設)	
